,MV,Name,Team,age,date,month,pre_MV,apps,ppm,goals,assists,mins_played,Serie A,Coppa Italia,others,Europa League,Serie B Play-off,Serie B,Primavera Fase Finale,Primavera A,Viareggio,Süper Lig,Super League,Chinese FA Cup,Türkiye Kupasi,Champions League Qualifying,Europa League Qualifying,Premier League,Champions League,FA Cup,U21 PL,League Cup,Supercoppa Italiana,EFL Cup,Ligue 1,Coupe de France,Coupe de la Ligue,Championship,Championship Play-Offs,Premier League 2,League Two,EFL Trophy,Bundesliga,DFB-Pokal,3.Liga,A-Junioren Bundesliga Süd/Südwest,DFB-Junioren-Pokal,Copa del Rey,LaLiga,UEFA Super Cup,DFL-Supercup,Primavera C,Eredivisie,Ledman Liga Pro,Allianz Cup,Taça de Portugal Placard,KNVB Beker,Jupiler League,UEFA Youth League,Libertadores,Copa Sudamericana,MLS Cup Playoffs,MLS,US Open Cup,CONCACAF Champions League,Kypello Elladas,Premier Liga,Russian Super Cup,Russian Cup,UEFA Cup,Ligapokal,Regionalliga Nord,Swiss Cup,Community Shield,Supercopa,Club World Cup,Ligue 2,League One,Reserve League North,Série A,AFC Champions League,AFC CL-Qualification,Chinese Super Cup,Torneo Inicial,Primera División,Reserve League South,Reserve League,2.Bundesliga,Liga NOS,Recopa Sudamericana,Torneo Final,Professional League,UAE Gulf League,Stars League,Série B,Turkcell Süper Kupa,RL West,A-Junioren Bundesliga Endrunde,A-Junioren Bundesliga West,League One Play-Offs,Premiership,Supertaça,Superligaen,Sydbank Pokalen,Allsvenskan,Svenska Cupen,Liga MX Clausura,Liga MX Apertura,Ukrainian Cup,JPL Playoff I,Jupiler Pro League,Beker van Belgie,Liga Águila II,Liga Águila I,UEFA-Cup Qualifikation,UI Cup,LaLiga2,Johan Cruijff Schaal,TOTO KNVB beker,Beloften Eredivisie,Play-Offs Europa League,Regionalliga Süd,Trophée des Champions,Primavera B,2ª B - Grupo II,Ukrainian Super Cup,Vyshcha Liga,SuperLiga,JPL Playoff II,ÖFB-Cup,Bundesliga Playoffs,1.Liga gr. 2,Taça CTT,SFA Cup,U21 PL Elite Group,SL Play-off,Ekstraklasa,Liguilla Clausura,Liguilla Apertura,Copa MX Apertura,Belgian Supercup,1.HNL,Liga 1,Copa MX Clausura,Fortuna Liga,Amstel Cup,PD Apertura
30,2250000,Andre,Santos FC,22,2012,2012-12-01,2700000,27,6.03,7,4,363.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1800000,F.  Anderson,Santos FC,19,2012,2012-07-01,675000,41,4.81,6,8,154.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,12600000,Fernandinho,Shakhtar Donetsk,27,2012,2012-11-01,900000,6,1.5,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,3150000,G.  Moreno,Shanghai Shenhua,26,2012,2012-07-01,3600000,15,1.57,2,5,121.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,4500000,L.  Castan,AS Roma,25,2012,2012-07-01,1350000,16,2.64,0,0,181.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1800000,L.  Mendes,Olympique Marseille,22,2012,2012-09-01,540000,15,2.58,2,1,181.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,36000000,Neymar,Santos FC,20,2012,2012-12-01,27000000,31,5.55,23,10,182.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,3600000,P.  Guerrero,Sport Club,28,2012,2012-07-01,5400000,15,1.6,6,2,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,1350000,T.  Gutierrez,Junior FC,27,2012,2012-08-01,1620000,3,3,1,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,2700000,V.  Berisha,Red Bull,19,2012,2012-12-01,810000,18,2.81,0,2,241.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
