,MV,age,Team,pre_MV,apps,ppm,goals,assists,mins_played,Nationality,Overall,Potential,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,names,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Dribbling,FK Accuracy,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Role
0,20412000.0,27.0,Shakhtar Donetsk,900000.0,6.0,1.5,0.0,0.0,186.0,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
1,43891200.0,28.0,Shakhtar Donetsk,20412000.0,36.0,10.08,6.0,10.0,1102.926,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
2,43891200.0,28.0,Shakhtar Donetsk,20412000.0,29.0,2.53,6.0,4.0,393.906,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
3,43142400.0,29.0,Manchester City,1371600.0,48.0,10.83,5.0,5.0,1195.608,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
4,43142400.0,29.0,Manchester City,1371600.0,25.0,4.63,2.0,2.0,1387.0,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
5,37422000.0,30.0,Manchester City,43142400.0,49.0,5.41,3.0,4.0,758.2719999999999,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
6,37422000.0,30.0,Manchester City,43142400.0,16.0,1.25,1.0,1.0,588.0,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
7,37825200.0,31.0,Manchester City,1737450.0,50.0,8.67,6.0,6.0,471.781,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
8,37825200.0,31.0,Manchester City,1737450.0,31.0,4.0,4.0,3.0,243.146,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
9,20282400.0,32.0,Manchester City,37825200.0,44.0,8.030000000000001,3.0,2.0,930.755,Brazil,75,78,Left,1,3.0,4.0,High/ Low,Lean,CAM,5'9,143lbs,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2,Fernandinho,80,63.0,72.0,79.0,77.0,74.0,78.0,60.0,6.0,11.0,11.0,10.0,8.0,50.0,87.0,64.0,71.0,56.0,63.0,75.0,74.0,75.0,49.0,80.0,78.0,50.0,66.0,66.0,58.0,midfield
